Return_Yr,SPECIES,Run,TagDate,TagReach,Tag1,Tag2,Sample_Category,CarcassCategory,Sex,FL,Mark,SnoutID,ScaleCard,SampleRate,ScaleAge,CarcassCondition,GillColor,SpawnSuccess,CWT_Code,CWT_Status_Code,DNA_Sample_Code,Comments,RecapDate,RecapTag1,RecapTag2,RecapReach,Brood_Yr,CWT_Species,CWT_Run,Agency_Name,RearingLocName,ReleaseSiteName,Mark_Short_Desc,StockName,First_Release_Date_Txt,Last_Release_Date_Txt,Tagged_Cnt
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,6702a,6702b,blank,,Female,66,AD,,04830-6702,1,31,D,,,,,,,12-Oct-22,6702a,6702b,NFL 2,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,6703a,6703b,blank,,Female,88,AD,,04830-6703,1,51,D,,,,,,,12-Oct-22,6703a,6703b,NFL 2,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,6704a,6704b,blank,,Female,78,AD,,04830-6704,1,41,D,,,,,,,11-Oct-22,6704a,6704b,NFL 3,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,6705a,6705b,blank,,Female,74,AD,,04830-6705,1,41,D-,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,6706a,6706b,blank,,Female,82,AD,,04830-6706,1,41,D-,,,,,,,12-Oct-22,6706a,6706b,NFL 2,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,6707a,6707b,blank,,Female,81,AD,,04830-6707,1,41,D-,,,,,,,12-Oct-22,6707a,6707b,NFL 2,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 1,6708a,6708b,blank,,Female,75,AD,,04830-6708,1,41,D-,,,,,,,12-Oct-22,6708a,6708b,NFL 2,,,,,,,,,,,
2022,Chinook salmon,Spring,05-Oct-22,NFL 2,,,1,,Male,73,UM,CWT00103909,04832-1,1,,D+,,,637482,1,,,,,,,2018,Chinook,Spring,Washington Department of Fish & Wildlife,LEWIS RIVER HATCHERY,LEWIS R -NF 27.0168,Unmarked,LEWIS RIVER HATCHERY,20200211,20200228,35585
2022,Chinook salmon,Fall,05-Oct-22,NFL 2,,,2,4,,,AD,,04832-10,1,,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 2,,,2,4,,,AD,,04832-11,1,,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 2,,,2,4,,,AD,,04832-12,1,,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Fall,05-Oct-22,NFL 2,,,2,4,,,AD,,04832-13,1,,D+,,,,,,,,,,,,,,,,,,,,,
